product_id,sku,launch_date,price,status
PROD0001,DOO-0001,2025-02-20,172.09,discontinued
PROD0002,DOO-0002,2024-11-06,171.73,active
PROD0003,GAD-0003,2024-11-14,97.77,draft
PROD0004,GAD-0004,2022-07-12,92.09,active
PROD0005,WID-0005,2025-01-08,162.88,draft
PROD0006,WID-0006,2025-05-04,196.53,discontinued
PROD0007,GAD-0007,2025-06-30,7.93,draft
PROD0008,WID-0008,2022-05-02,11.95,active
PROD0009,WID-0009,2024-08-08,68.63,draft
PROD0010,GAD-0010,2024-11-29,50.56,discontinued
PROD0011,DOO-0011,2022-01-10,134.18,discontinued
PROD0012,GIZ-0012,2024-04-13,199.54,active
PROD0013,GIZ-0013,2023-10-08,152.81,draft
PROD0014,GIZ-0014,2022-03-02,18.69,active
PROD0015,DOO-0015,2022-08-09,170.08,discontinued
PROD0016,,2022-05-17,29.99,active
PROD0001,DUP-0001,2022-02-04,15.0,active
PROD0017,GIZ-0017,2025-11-03,42.0,unknown_status
PROD0018,WID-0018,2099-01-01,75.25,draft
PROD0019,DOO-0019,2022-01-02,,discontinued
